epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5298.61,0.47357,0.26736,0.83354,0.93557,0.90923,0.94477,0.82306,0.51808,0.35501,0.85267,0.000143097,0.000143097,0.000143097
90,5359.82,0.46826,0.26595,0.83409,0.92437,0.9139,0.94782,0.827,0.51852,0.35311,0.85501,0.000132098,0.000132098,0.000132098
91,5423.5,0.46281,0.26091,0.83218,0.9306,0.91168,0.94884,0.82734,0.51811,0.35365,0.85417,0.000121099,0.000121099,0.000121099
92,5490.33,0.46026,0.26001,0.83119,0.92756,0.9116,0.94874,0.83025,0.51914,0.3538,0.85528,0.0001101,0.0001101,0.0001101
93,5555.21,0.4603,0.25736,0.83029,0.92118,0.91204,0.9482,0.82849,0.52106,0.35567,0.85612,9.91012e-05,9.91012e-05,9.91012e-05
94,5617.31,0.45712,0.25663,0.82841,0.92926,0.90907,0.94628,0.82708,0.51994,0.35306,0.85743,8.81023e-05,8.81023e-05,8.81023e-05
95,5670.28,0.45684,0.25437,0.83272,0.92989,0.91162,0.94842,0.82826,0.51893,0.35113,0.85798,7.71034e-05,7.71034e-05,7.71034e-05
96,5725.36,0.45105,0.25612,0.83143,0.92163,0.91978,0.94849,0.82937,0.51972,0.34945,0.85705,6.61045e-05,6.61045e-05,6.61045e-05
97,5787.44,0.44364,0.24838,0.82751,0.92151,0.91803,0.94918,0.82981,0.51756,0.35009,0.85613,5.51056e-05,5.51056e-05,5.51056e-05
98,5843.85,0.44313,0.24806,0.82558,0.92302,0.91648,0.94877,0.83144,0.51749,0.34846,0.85647,4.41067e-05,4.41067e-05,4.41067e-05
99,5899.43,0.43993,0.24764,0.82472,0.91812,0.91795,0.94779,0.83025,0.51787,0.34871,0.85607,3.31078e-05,3.31078e-05,3.31078e-05
100,5954.14,0.44106,0.24912,0.82854,0.92167,0.91943,0.94693,0.82839,0.51869,0.34813,0.85542,2.21089e-05,2.21089e-05,2.21089e-05
