epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3328.96,0.513,0.42676,0.85767,0.85444,0.78,0.82985,0.7221,0.53363,0.57513,0.87435,6.8614e-05,6.8614e-05,6.8614e-05
62,3383.87,0.51532,0.42692,0.85669,0.88516,0.75485,0.84205,0.73345,0.54005,0.55947,0.87762,6.69409e-05,6.69409e-05,6.69409e-05
63,3436.97,0.51672,0.42577,0.85935,0.83931,0.78181,0.83051,0.72433,0.53634,0.56792,0.87368,6.52678e-05,6.52678e-05,6.52678e-05
64,3492.25,0.5082,0.41908,0.85812,0.87758,0.77088,0.83293,0.72591,0.53133,0.56223,0.87318,6.35947e-05,6.35947e-05,6.35947e-05
65,3547.4,0.50739,0.41628,0.85515,0.88541,0.75655,0.82982,0.72332,0.53712,0.57795,0.87574,6.19216e-05,6.19216e-05,6.19216e-05
66,3601.72,0.50685,0.41734,0.85693,0.88402,0.76008,0.82965,0.7198,0.53728,0.56614,0.87745,6.02485e-05,6.02485e-05,6.02485e-05
67,3657.3,0.50286,0.4061,0.85554,0.89957,0.754,0.82858,0.72187,0.53846,0.5695,0.87571,5.85754e-05,5.85754e-05,5.85754e-05
68,3713.44,0.49884,0.40783,0.85509,0.90203,0.74056,0.8335,0.72264,0.54188,0.56859,0.87595,5.69023e-05,5.69023e-05,5.69023e-05
69,3768.33,0.49761,0.40218,0.85514,0.86382,0.77751,0.82427,0.71798,0.54007,0.56146,0.87833,5.52292e-05,5.52292e-05,5.52292e-05
70,3823.84,0.49339,0.39939,0.85173,0.86851,0.77877,0.83031,0.72204,0.53679,0.56351,0.87431,5.35561e-05,5.35561e-05,5.35561e-05
71,3879.59,0.49307,0.39942,0.85109,0.89896,0.75254,0.82541,0.71992,0.53288,0.56072,0.87314,5.1883e-05,5.1883e-05,5.1883e-05
72,3934.4,0.48324,0.39203,0.84499,0.87769,0.76872,0.8254,0.71983,0.54063,0.55453,0.8754,5.02099e-05,5.02099e-05,5.02099e-05
73,3989.81,0.48496,0.38993,0.84921,0.88048,0.75963,0.82523,0.72047,0.53573,0.55705,0.87387,4.85368e-05,4.85368e-05,4.85368e-05
74,4044.29,0.47997,0.38234,0.84756,0.89374,0.7713,0.83567,0.72803,0.53503,0.54619,0.87275,4.68637e-05,4.68637e-05,4.68637e-05
75,4099.86,0.47704,0.38428,0.84543,0.89637,0.75303,0.83434,0.7257,0.53808,0.55794,0.87506,4.51906e-05,4.51906e-05,4.51906e-05
76,4154.95,0.4769,0.38143,0.84361,0.89087,0.75411,0.82977,0.72116,0.54007,0.55467,0.87656,4.35175e-05,4.35175e-05,4.35175e-05
77,4209.33,0.46901,0.37458,0.84404,0.85638,0.76866,0.82813,0.71923,0.53973,0.54868,0.8784,4.18444e-05,4.18444e-05,4.18444e-05
78,4264.93,0.46889,0.37601,0.8421,0.8676,0.77925,0.8392,0.73081,0.53683,0.54192,0.87848,4.01713e-05,4.01713e-05,4.01713e-05
79,4320.06,0.47202,0.37312,0.8436,0.84809,0.77211,0.83416,0.72673,0.5302,0.54184,0.87349,3.84982e-05,3.84982e-05,3.84982e-05
80,4374.01,0.46398,0.37212,0.841,0.88056,0.77336,0.83286,0.72294,0.53421,0.54153,0.87458,3.68251e-05,3.68251e-05,3.68251e-05
81,4429.48,0.46478,0.36917,0.84172,0.8864,0.76999,0.83588,0.726,0.53324,0.53545,0.87457,3.5152e-05,3.5152e-05,3.5152e-05
82,4484.51,0.46524,0.36498,0.84341,0.89226,0.77138,0.83411,0.72541,0.52801,0.54121,0.87239,3.34789e-05,3.34789e-05,3.34789e-05
83,4538.58,0.4611,0.3646,0.8393,0.87502,0.77906,0.8376,0.72864,0.53186,0.54332,0.87344,3.18058e-05,3.18058e-05,3.18058e-05
84,4594.55,0.45137,0.36129,0.83852,0.90247,0.76494,0.83804,0.72996,0.53237,0.54105,0.87354,3.01327e-05,3.01327e-05,3.01327e-05
85,4648.83,0.4534,0.35761,0.83849,0.88765,0.7685,0.84246,0.73236,0.53082,0.53067,0.87229,2.84596e-05,2.84596e-05,2.84596e-05
86,4703.39,0.45092,0.35743,0.83885,0.89605,0.76584,0.83939,0.7328,0.53143,0.52798,0.87315,2.67865e-05,2.67865e-05,2.67865e-05
87,4759.36,0.44989,0.35623,0.83571,0.88327,0.768,0.8329,0.72391,0.53248,0.53361,0.8747,2.51134e-05,2.51134e-05,2.51134e-05
88,4815.23,0.44938,0.35783,0.837,0.84311,0.78838,0.83762,0.7286,0.52867,0.52983,0.87419,2.34403e-05,2.34403e-05,2.34403e-05
89,4870.57,0.45028,0.35293,0.84122,0.89744,0.75721,0.8384,0.72754,0.53007,0.53144,0.87169,2.17672e-05,2.17672e-05,2.17672e-05
90,4925.59,0.44001,0.35016,0.83417,0.87068,0.77812,0.83946,0.72924,0.53115,0.5301,0.8743,2.00941e-05,2.00941e-05,2.00941e-05
91,4981.1,0.44356,0.35,0.83301,0.90094,0.76192,0.83135,0.72165,0.52764,0.53443,0.87219,1.8421e-05,1.8421e-05,1.8421e-05
92,5036.96,0.43656,0.34528,0.83377,0.89016,0.75501,0.835,0.72501,0.53034,0.53423,0.87386,1.67479e-05,1.67479e-05,1.67479e-05
93,5092.29,0.43925,0.34633,0.83471,0.84102,0.79696,0.83209,0.72044,0.52939,0.53143,0.87332,1.50748e-05,1.50748e-05,1.50748e-05
94,5146.63,0.43799,0.34445,0.8342,0.8866,0.7587,0.83027,0.72051,0.53051,0.533,0.87351,1.34017e-05,1.34017e-05,1.34017e-05
95,5201.98,0.43257,0.34198,0.83467,0.88579,0.76144,0.83597,0.72765,0.5276,0.52967,0.8721,1.17286e-05,1.17286e-05,1.17286e-05
96,5257.24,0.43373,0.34428,0.83783,0.84823,0.79152,0.83436,0.72383,0.52925,0.5296,0.87223,1.00555e-05,1.00555e-05,1.00555e-05
97,5313.11,0.43234,0.3423,0.8317,0.83029,0.79905,0.83274,0.722,0.53083,0.52959,0.87335,8.3824e-06,8.3824e-06,8.3824e-06
98,5368.12,0.42897,0.33931,0.82848,0.86049,0.78576,0.8333,0.72188,0.52977,0.53043,0.87336,6.7093e-06,6.7093e-06,6.7093e-06
99,5423.98,0.42559,0.33981,0.82768,0.81384,0.79891,0.83095,0.71991,0.53021,0.53022,0.8738,5.0362e-06,5.0362e-06,5.0362e-06
100,5478.66,0.42585,0.33453,0.83066,0.87123,0.77292,0.82952,0.71949,0.52923,0.52967,0.87357,3.3631e-06,3.3631e-06,3.3631e-06
